a,mu_hat_given_a,sigma_hat_given_a,loglik,success,message,delta_loglik,relative_likelihood
0.05,0.042125847638770475,1.054236517552679,-4873.216211291727,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-1400.0299835112783,0.0
0.1,0.042125847638770475,1.054236517552679,-4211.430397451511,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-738.244169671063,2.426e-321
0.15,0.042125847638770475,1.054236517552679,-4205.546164732929,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-732.3599369524809,8.71206e-319
0.2,0.042125847638770475,1.054236517552679,-4198.126778557384,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-724.9405507769352,1.45317892e-315
0.25,0.042125847638770475,1.054236517552679,-4189.797815679816,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-716.6115878993678,6.019240657727e-312
0.3,0.042125847638770475,1.054236517552679,-4181.050920406818,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-707.8646926263691,3.786779856263246e-308
0.35,0.042125847638770475,1.054236517552679,-4172.0883594087645,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-698.902131628316,2.9557033471434328e-304
0.4,0.042125847638770475,1.054236517552679,-4162.94342236959,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-689.7571945891414,2.7685765550430858e-300
0.45,0.04212585342875272,1.0542365201778952,-4153.666271609796,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-680.4800438293478,2.959865111592728e-296
0.5,0.04212588170001232,1.0542365400277904,-4144.277130924145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-671.0909031436968,3.539353242391299e-292
0.55,0.05689860493300667,1.0530932068919685,-4134.188825238413,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-661.0025974579648,8.515681314156928e-288
0.6,0.05689879247524944,1.0530933252401848,-4124.553927836427,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-651.3677000559783,1.301973592518264e-283
0.65,0.060008231022589606,1.0528173936602196,-4114.746063092962,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-641.5598353125133,2.3664847656136214e-279
0.7,0.03514018717127721,1.047144095587757,-4104.198112041471,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-631.0118842610227,9.01614007007903e-275
0.75,0.035140187169429925,1.0471440955876563,-4094.5562350074288,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-621.3700072269803,1.3881443863358082e-270
0.8,0.03514018717023058,1.0471440955882139,-4085.0075035294963,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-611.8212757490478,1.947134855794798e-266
0.85,0.08251705695768365,1.03392235729573,-4071.6272990141715,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-598.441071233723,1.2599259441208393e-260
0.9,0.06729489837973913,0.9543754955446861,-4058.0174975855143,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-584.8312698050659,1.02566770028272e-254
0.95,0.06730352345920551,0.9543746654541975,-4051.3988228000308,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-578.2125950195823,7.681757905534923e-252
0.975,0.06730352461293189,0.9543746652753206,-4048.8053150792994,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-575.6190872988509,1.0275588592205346e-250
0.99,0.08217094196350667,1.254298937171146,-3479.747621537027,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-6.561393756578582,0.0014139136849044347
0.995,0.07896709031731146,1.2538559354744179,-3478.347712026044,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-5.161484245595602,0.005733183914495761
0.999,0.07398044184202006,1.2458278086397943,-3473.1862277804485,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,1.0
