Dataset,Ticker,n,SampleKurtosis,SampleSkewness,Model,mu,sigma,shape,LogLik,AIC,BIC
NIFTY,^NSEI,2458,23.369295785989266,-1.4067841811227626,Normal,0.042125847638770475,1.054236517552679,,-3617.574670222195,7239.14934044439,7250.763547024642
NIFTY,^NSEI,2458,23.369295785989266,-1.4067841811227626,Student-t,0.08008876716615683,0.6803291814030668,3.5684048794712586,-3268.376090525189,6542.752181050378,6560.173490920755
NIFTY,^NSEI,2458,23.369295785989266,-1.4067841811227626,NUVM-MLE,0.11672527655914655,1.2691384774457077,0.9576069909892678,-3498.6209334768073,7003.241866953615,7020.663176823992
NIFTY,^NSEI,2458,23.369295785989266,-1.4067841811227626,NUVM-MoM,0.042125847638770475,1.054236517552679,0.999,-4053.5449985702376,,
SP500,^GSPC,2515,18.721438587145606,-0.8099533346078972,Normal,0.04174958742578826,1.1267483116985009,,-3868.7601597875155,7741.520319575031,7753.1803757400985
SP500,^GSPC,2515,18.721438587145606,-0.8099533346078972,Student-t,0.08166566811833012,0.6427396849922877,2.6805639628798406,-3459.715050862644,6925.430101725288,6942.92018597289
SP500,^GSPC,2515,18.721438587145606,-0.8099533346078972,NUVM-MLE,0.0438110452463705,1.1615771397347536,0.999,-3613.8533220389095,7233.706644077819,7251.196728325421
SP500,^GSPC,2515,18.721438587145606,-0.8099533346078972,NUVM-MoM,0.04174958742578826,1.1267483116985009,0.999,-4261.206230613363,,
NASDAQ,^IXIC,2515,11.01817270554538,-0.6403076344882203,Normal,0.055960770963329055,1.3482930046322472,,-4320.211379672966,8644.422759345933,8656.082815511001
NASDAQ,^IXIC,2515,11.01817270554538,-0.6403076344882203,Student-t,0.12314587566541008,0.8557565815101891,3.011099426864095,-4065.123408142677,8136.246816285354,8153.736900532956
NASDAQ,^IXIC,2515,11.01817270554538,-0.6403076344882203,NUVM-MLE,0.09705672333500921,1.2978592527568522,0.999,-4127.706954278472,8261.413908556944,8278.903992804546
NASDAQ,^IXIC,2515,11.01817270554538,-0.6403076344882203,NUVM-MoM,0.055960770963329055,1.3482930046322472,0.999,-4131.455346771465,,
GOLD,GC=F,2512,6.693710340907063,-0.14964588663044165,Normal,0.03169161219188982,0.9250340168734881,,-3368.626580335542,6741.253160671084,6752.91082972626
GOLD,GC=F,2512,6.693710340907063,-0.14964588663044165,Student-t,0.04832967771191364,0.6616055268826664,3.844047954658053,-3214.752756907108,6435.505513814216,6452.99201739698
GOLD,GC=F,2512,6.693710340907063,-0.14964588663044165,NUVM-MLE,0.03881463569692137,0.9088012975832055,0.999,-3246.2881763990467,6498.5763527980935,6516.062856380858
GOLD,GC=F,2512,6.693710340907063,-0.14964588663044165,NUVM-MoM,0.03169161219188982,0.9250340168734881,0.999,-3246.93426941336,,
CRUDE,CL=F,2511,24.97594931965198,0.08541104715746388,Normal,0.03624132962376289,2.9204581932347917,,-6254.095101245034,12512.190202490068,12523.847075208383
CRUDE,CL=F,2511,24.97594931965198,0.08541104715746388,Student-t,0.1146453004183996,1.8016759448699275,3.4188457741352805,-5818.158410078054,11642.316820156107,11659.80212923358
CRUDE,CL=F,2511,24.97594931965198,0.08541104715746388,NUVM-MLE,0.06816775050954224,2.7547942369485403,0.9989004696756567,-6001.478053507962,12008.956107015923,12026.441416093396
CRUDE,CL=F,2511,24.97594931965198,0.08541104715746388,NUVM-MoM,0.03624132962376289,2.9204581932347917,0.999,-6009.715881565437,,
