model,n,loglik,k,KS,AIC,BIC,CAIC,HQIC,dataset,centered,best_AIC_model,delta_AIC_from_best
Normal,442,719.0086522627056,2,0.04977872283458512,-1434.0173045254112,-1425.8346847612559,-1423.8346847612559,-1430.7898519415596,diabetes_s2,True,TVMN,1.244658118938105
Laplace,442,704.635637193377,2,0.06416228045269268,-1405.271274386754,-1397.0886546225986,-1395.0886546225986,-1402.0438218029024,diabetes_s2,True,TVMN,29.990688257595366
NUVM,442,720.5501903547118,3,0.04792020159005561,-1435.1003807094237,-1422.8264510631907,-1419.8264510631907,-1430.259201833646,diabetes_s2,True,TVMN,0.16158193492560713
TVMN,442,720.6309813221746,3,0.05510930419968613,-1435.2619626443493,-1422.9880329981163,-1419.9880329981163,-1430.4207837685717,diabetes_s2,True,TVMN,0.0
Normal,442,719.008652262706,2,0.0741055005584077,-1434.017304525412,-1425.8346847612568,-1423.8346847612568,-1430.7898519415605,diabetes_s3,True,TVMN,4.26079395798547
Laplace,442,707.4942415285276,2,0.07100991281704205,-1410.9884830570552,-1402.8058632928999,-1400.8058632928999,-1407.7610304732036,diabetes_s3,True,TVMN,27.28961542634238
NUVM,442,721.8065913924213,3,0.06401136717533928,-1437.6131827848426,-1425.3392531386096,-1422.3392531386096,-1432.772003909065,diabetes_s3,True,TVMN,0.664915698554978
TVMN,442,722.1390492416988,3,0.0790520483797999,-1438.2780984833976,-1426.0041688371646,-1423.0041688371646,-1433.43691960762,diabetes_s3,True,TVMN,0.0
Normal,442,719.0086522627057,2,0.04803721276307604,-1434.0173045254114,-1425.834684761256,-1423.834684761256,-1430.7898519415598,diabetes_s6,True,TVMN,0.5322237645095811
Laplace,442,708.5213214648046,2,0.05131442669960651,-1413.0426429296092,-1404.8600231654539,-1402.8600231654539,-1409.8151903457576,diabetes_s6,True,TVMN,21.5068853603118
NUVM,442,719.9430841776084,3,0.03424250933886708,-1433.8861683552168,-1421.6122387089838,-1418.6122387089838,-1429.0449894794392,diabetes_s6,True,TVMN,0.6633599347042036
TVMN,442,720.2747641449605,3,0.03717921456287332,-1434.549528289921,-1422.275598643688,-1419.275598643688,-1429.7083494141434,diabetes_s6,True,TVMN,0.0
Normal,569,-1636.9645755471545,2,0.049088457534485874,3277.929151094309,3286.6169119625615,3288.6169119625615,3281.31911364261,breast_mean texture,True,TVMN,2.4371624817235897
Laplace,569,-1653.7000802385876,2,0.06256972587852516,3311.400160477175,3320.0879213454277,3322.0879213454277,3314.790123025476,breast_mean texture,True,TVMN,35.908171864589804
NUVM,569,-1634.9005268003077,3,0.0384159045957993,3275.8010536006154,3288.8326949029943,3291.8326949029943,3280.885997423067,breast_mean texture,True,TVMN,0.3090649880300589
TVMN,569,-1634.7459943062927,3,0.05007570032397951,3275.4919886125854,3288.523629914964,3291.523629914964,3280.5769324350367,breast_mean texture,True,TVMN,0.0
Normal,569,1619.4131480752562,2,0.03609356230920174,-3234.8262961505125,-3226.13853528226,-3224.13853528226,-3231.4363336022116,breast_mean smoothness,True,TVMN,2.595563107332964
Laplace,569,1594.7572468331703,2,0.0646489999886336,-3185.5144936663405,-3176.826732798088,-3174.826732798088,-3182.1245311180396,breast_mean smoothness,True,TVMN,51.90736559150491
NUVM,569,1621.2457974592899,3,0.03645895445422237,-3236.4915949185797,-3223.459953616201,-3220.459953616201,-3231.4066510961284,breast_mean smoothness,True,TVMN,0.9302643392657046
TVMN,569,1621.7109296289227,3,0.041887002734273204,-3237.4218592578454,-3224.3902179554666,-3221.3902179554666,-3232.336915435394,breast_mean smoothness,True,TVMN,0.0
Normal,569,1239.6416986010759,2,0.05151565439422545,-2475.2833972021517,-2466.595636333899,-2464.595636333899,-2471.893434653851,breast_mean symmetry,True,TVMN,12.585201750101987
Laplace,569,1232.701584544043,2,0.05096548383984767,-2461.403169088086,-2452.7154082198335,-2450.7154082198335,-2458.013206539785,breast_mean symmetry,True,TVMN,26.465429864167618
NUVM,569,1246.478183606072,3,0.037097716573934736,-2486.956367212144,-2473.924725909765,-2470.924725909765,-2481.8714233896926,breast_mean symmetry,True,TVMN,0.9122317401097462
TVMN,569,1246.9342994761269,3,0.05459283348742516,-2487.8685989522537,-2474.836957649875,-2471.836957649875,-2482.7836551298024,breast_mean symmetry,True,TVMN,0.0
Normal,569,1343.7016855048428,2,0.035317294588105175,-2683.4033710096855,-2674.715610141433,-2672.715610141433,-2680.0134084613846,breast_worst smoothness,True,TVMN,1.2253635587958343
Laplace,569,1324.5514279182191,2,0.057127944584808965,-2645.1028558364383,-2636.4150949681857,-2634.4150949681857,-2641.7128932881374,breast_worst smoothness,True,TVMN,39.52587873204311
NUVM,569,1345.2050621780877,3,0.022623993287088306,-2684.4101243561754,-2671.3784830537966,-2668.3784830537966,-2679.325180533724,breast_worst smoothness,True,TVMN,0.21861021230597544
TVMN,569,1345.3143672842407,3,0.028071601672747692,-2684.6287345684814,-2671.5970932661025,-2668.5970932661025,-2679.54379074603,breast_worst smoothness,True,TVMN,0.0
Normal,569,84.87279094196649,2,0.10309382458569771,-165.74558188393297,-157.0578210156803,-155.0578210156803,-162.35561933563204,breast_worst concavity,True,TVMN,11.138060046139685
Laplace,569,75.64603024544343,2,0.12235137504439642,-147.29206049088685,-138.6042996226342,-136.6042996226342,-143.90209794258593,breast_worst concavity,True,TVMN,29.591581439185802
NUVM,569,91.30330622077267,3,0.10206813181478093,-176.60661244154534,-163.57497113916634,-160.57497113916634,-171.52166861909396,breast_worst concavity,True,TVMN,0.2770294885273188
TVMN,569,91.44182096503633,3,0.11274670712022228,-176.88364193007266,-163.85200062769366,-160.85200062769366,-171.79869810762128,breast_worst concavity,True,TVMN,0.0
Normal,178,-21.849352577230995,2,0.057886506517667274,47.69870515446199,54.06227225504616,56.06227225504616,50.27930240140951,wine_ash,True,TVMN,2.625530028352877
Laplace,178,-22.725685695359097,2,0.06707387396928832,49.451371390718194,55.814938491302364,57.814938491302364,52.03196863766571,wine_ash,True,TVMN,4.37819626460908
NUVM,178,-19.702794903369387,3,0.04641573996112036,45.405589806738774,54.95094045761503,57.95094045761503,49.27648567716005,wine_ash,True,TVMN,0.33241468062966106
TVMN,178,-19.536587563054557,3,0.04780177153960907,45.07317512610911,54.618525776985365,57.618525776985365,48.9440709965304,wine_ash,True,TVMN,0.0
Normal,178,-725.3776757554808,2,0.08929327732134829,1454.7553515109616,1461.1189186115457,1463.1189186115457,1457.3359487579091,wine_magnesium,True,TVMN,4.028913245453623
Laplace,178,-725.8260868171776,2,0.07585758733959837,1455.6521736343552,1462.0157407349393,1464.0157407349393,1458.2327708813027,wine_magnesium,True,TVMN,4.925735368847199
NUVM,178,-722.649946105307,3,0.07495648093816411,1451.299892210614,1460.8452428614903,1463.8452428614903,1455.1707880810352,wine_magnesium,True,TVMN,0.5734539451059391
TVMN,178,-722.363219132754,3,0.09261134035600393,1450.726438265508,1460.2717889163844,1463.2717889163844,1454.5973341359293,wine_magnesium,True,TVMN,0.0
