dataset,n,model,loglik,k,KS,AIC,BIC,CAIC,HQIC
diabetes_target_centered,442,Normal,-2547.165809688319,2,0.09602627232194438,5098.331619376638,5106.5142391407935,5108.5142391407935,5101.55907196049
diabetes_target_centered,442,Laplace,-2593.7424381804003,2,0.0982275067974087,5191.484876360801,5199.667496124956,5201.667496124956,5194.712328944653
diabetes_target_centered,442,NUVM,-2547.1658099135802,3,0.09602698430687318,5100.3316198271605,5112.605549473394,5115.605549473394,5105.172798702938
diabetes_target_centered,442,TVMN,-2547.16912088059,3,0.09606573748204217,5100.33824176118,5112.612171407413,5115.612171407413,5105.179420636958
breast_cancer_mean_radius_centered,569,Normal,-1523.5939960376159,2,0.11273020428287467,3051.1879920752317,3059.8757529434843,3061.8757529434843,3054.5779546235326
breast_cancer_mean_radius_centered,569,Laplace,-1521.2929306763904,2,0.07975218920501848,3046.5858613527807,3055.2736222210333,3057.2736222210333,3049.9758239010816
breast_cancer_mean_radius_centered,569,NUVM,-1517.3573302781451,3,0.06638262629248382,3040.7146605562903,3053.746301858669,3056.746301858669,3045.7996043787416
breast_cancer_mean_radius_centered,569,TVMN,-1519.985838126831,3,0.11452165704608669,3045.971676253662,3059.0033175560407,3062.0033175560407,3051.056620076113
breast_cancer_mean_area_centered,569,Normal,-4143.142899265784,2,0.15596016584371275,8290.285798531568,8298.973559399821,8300.973559399821,8293.675761079869
breast_cancer_mean_area_centered,569,Laplace,-4097.120956495393,2,0.1206055972556965,8198.241912990787,8206.92967385904,8208.92967385904,8201.631875539088
breast_cancer_mean_area_centered,569,NUVM,-4114.4811992780715,3,0.1253579363265797,8234.962398556143,8247.994039858522,8250.994039858522,8240.047342378595
breast_cancer_mean_area_centered,569,TVMN,-4122.977117642846,3,0.16344988097419505,8251.954235285692,8264.98587658807,8267.98587658807,8257.039179108144
wine_alcohol_centered,178,Normal,-214.962241041487,2,0.06854144954910601,433.924482082974,440.2880491835582,442.2880491835582,436.50507932992156
wine_alcohol_centered,178,Laplace,-234.5610848175067,2,0.10813491261039437,473.1221696350134,479.4857367355976,481.4857367355976,475.70276688196094
wine_alcohol_centered,178,NUVM,-214.96224110527112,3,0.06854111857485451,435.92448221054224,445.46983286141847,448.46983286141847,439.79537808096353
wine_alcohol_centered,178,TVMN,-214.9629257210646,3,0.0687229982652266,435.9258514421292,445.47120209300545,448.47120209300545,439.7967473125505
linnerud_weight_centered,20,Normal,-51.14118184063789,2,0.1540900156481939,106.28236368127578,108.27382822838376,110.27382822838376,106.67111848273558
linnerud_weight_centered,20,Laplace,-49.6320908184843,2,0.13263179052985907,103.2641816369686,105.25564618407658,107.25564618407658,103.6529364384284
linnerud_weight_centered,20,NUVM,-49.89623278908796,3,0.11953470037696201,105.79246557817592,108.7796623988379,111.7796623988379,106.37559778036561
linnerud_weight_centered,20,TVMN,-49.67091386612117,3,0.15603207108829775,105.34182773224234,108.32902455290431,111.32902455290431,105.92495993443202
