model,n,loglik,k,KS,AIC,BIC,CAIC,HQIC,dataset,centered,best_AIC_model,delta_AIC_from_best
TVMN,569,1621.7109296289227,3,0.041887002734273204,-3237.4218592578454,-3224.3902179554666,-3221.3902179554666,-3232.336915435394,breast_mean smoothness,True,TVMN,0.0
TVMN,569,1345.3143672842407,3,0.028071601672747692,-2684.6287345684814,-2671.5970932661025,-2668.5970932661025,-2679.54379074603,breast_worst smoothness,True,TVMN,0.0
TVMN,569,1246.9342994761269,3,0.05459283348742516,-2487.8685989522537,-2474.836957649875,-2471.836957649875,-2482.7836551298024,breast_mean symmetry,True,TVMN,0.0
TVMN,442,722.1390492416988,3,0.0790520483797999,-1438.2780984833976,-1426.0041688371646,-1423.0041688371646,-1433.43691960762,diabetes_s3,True,TVMN,0.0
TVMN,442,720.6309813221746,3,0.05510930419968613,-1435.2619626443493,-1422.9880329981163,-1419.9880329981163,-1430.4207837685717,diabetes_s2,True,TVMN,0.0
TVMN,442,720.2747641449605,3,0.03717921456287332,-1434.549528289921,-1422.275598643688,-1419.275598643688,-1429.7083494141434,diabetes_s6,True,TVMN,0.0
TVMN,569,91.44182096503633,3,0.11274670712022228,-176.88364193007266,-163.85200062769366,-160.85200062769366,-171.79869810762128,breast_worst concavity,True,TVMN,0.0
TVMN,178,-19.536587563054557,3,0.04780177153960907,45.07317512610911,54.618525776985365,57.618525776985365,48.9440709965304,wine_ash,True,TVMN,0.0
TVMN,178,-722.363219132754,3,0.09261134035600393,1450.726438265508,1460.2717889163844,1463.2717889163844,1454.5973341359293,wine_magnesium,True,TVMN,0.0
TVMN,569,-1634.7459943062927,3,0.05007570032397951,3275.4919886125854,3288.523629914964,3291.523629914964,3280.5769324350367,breast_mean texture,True,TVMN,0.0
